emotion_class,precision,recall,f1-score,support
angry,0.38636363636363635,0.2897727272727273,0.33116883116883117,176.0
disgust,0.5384615384615384,0.509090909090909,0.5233644859813084,165.0
fear,0.33962264150943394,0.24489795918367346,0.2845849802371542,147.0
happy,0.6216216216216216,0.8141592920353983,0.7049808429118773,339.0
neutral,0.48578199052132703,0.6721311475409836,0.5639614855570839,305.0
sad,0.5454545454545454,0.11764705882352941,0.1935483870967742,153.0
surprise,0.5454545454545454,0.5084745762711864,0.5263157894736842,118.0
