model,test_accuracy,test_macro_f1
Random Forest (balanced train),0.5203136136849608,0.44684640034667333
SVM (balanced train),0.4269422665716322,0.397464334509146
SVM (baseline),0.4126870990734141,0.37908718818991366
Random Forest (baseline),0.4839629365645046,0.3740256067282939
